Freq.	V(rs)/V(inp)
1.20226443461740e-001	(1.22289638159885e+002dB,9.02175387940603e+001°)
1.23026877081237e-001	(1.22089656203218e+002dB,9.02125893285529e+001°)
1.25892541179416e-001	(1.21889673435593e+002dB,9.02077523626997e+001°)
1.28824955169312e-001	(1.21689689893220e+002dB,9.02030252148528e+001°)
1.31825673855640e-001	(1.21489705611382e+002dB,9.01984054841052e+001°)
1.34896288259164e-001	(1.21289720622847e+002dB,9.01938907438188e+001°)
1.38038426460287e-001	(1.21089734959530e+002dB,9.01894785925292e+001°)
1.41253754462274e-001	(1.20889748651617e+002dB,9.01851666983168e+001°)
1.44543977074592e-001	(1.20689761728222e+002dB,9.01809527683682e+001°)
1.47910838816820e-001	(1.20489774216770e+002dB,9.01768346300954e+001°)
1.51356124843620e-001	(1.20289786143836e+002dB,9.01728100907137e+001°)
1.54881661891247e-001	(1.20089797534744e+002dB,9.01688770338362e+001°)
1.58489319246110e-001	(1.19889808413091e+002dB,9.01650333902237e+001°)
1.62181009735892e-001	(1.19689818802566e+002dB,9.01612770754110e+001°)
1.65958690743755e-001	(1.19489828724728e+002dB,9.01576061635924e+001°)
1.69824365246173e-001	(1.19289838200610e+002dB,9.01540186982085e+001°)
1.73780082874936e-001	(1.19089847250447e+002dB,9.01505128138012e+001°)
1.77827941003891e-001	(1.18889855893273e+002dB,9.01470866289633e+001°)
1.81970085860997e-001	(1.18689864147267e+002dB,9.01437383175587e+001°)
1.86208713666285e-001	(1.18489872030139e+002dB,9.01404661277881e+001°)
1.90546071796323e-001	(1.18289879558109e+002dB,9.01372683670785e+001°)
1.94984459975803e-001	(1.18089886747774e+002dB,9.01341432866108e+001°)
1.99526231496886e-001	(1.17889893613923e+002dB,9.01310892806511e+001°)
2.04173794466951e-001	(1.17689900171308e+002dB,9.01281046888021e+001°)
2.08929613085402e-001	(1.17489906433631e+002dB,9.01251879673752e+001°)
2.13796208950222e-001	(1.17289912414318e+002dB,9.01223375679324e+001°)
2.18776162394954e-001	(1.17089918125874e+002dB,9.01195519772961e+001°)
2.23872113856832e-001	(1.16889923580530e+002dB,9.01168297167529e+001°)
2.29086765276776e-001	(1.16689928789677e+002dB,9.01141693760226e+001°)
