Vcell	Icell	measured	regon	time
3.90	1890	1861	0	 0.59
3.93	1890	1858	0	 1.04
3.94	1890	1854	0	 1.49
3.94	1890	1856	0	 1.93
3.95	1890	1855	0	 2.38
3.95	1890	1857	0	 2.85
3.95	1890	1856	0	 3.28
3.95	1890	1853	0	 3.74
3.95	1890	1853	0	 4.19
3.96	1890	1851	0	 4.63
3.96	1890	1852	0	 5.07
3.96	1890	1852	0	 5.52
3.96	1890	1858	0	 5.97
3.96	1890	1857	0	 6.41
3.96	1890	1852	0	 6.86
3.97	1890	1859	0	 7.31
3.97	1890	1854	0	 7.75
3.97	1890	1857	0	 8.20
3.97	1890	1865	0	 8.64
3.97	1890	1854	0	 9.09
3.97	1890	1841	0	 9.54
3.97	1890	1854	0	 9.99
3.97	1890	1858	0	10.44
3.97	1890	1862	0	10.89
3.98	1890	1856	0	11.33
3.98	1890	1843	0	11.88
3.98	1890	1842	0	12.32
3.98	1890	1844	0	12.76
3.98	1890	1842	0	13.20
3.98	1890	1853	0	13.65
3.98	1890	1873	0	14.07
3.98	1890	1856	0	14.52
3.98	1890	1850	0	14.96
3.98	1890	1845	0	15.43
3.98	1890	1849	0	15.87
3.99	1890	1866	0	16.32
3.99	1890	1846	0	16.76
3.99	1890	1856	0	17.21
3.99	1890	1854	0	17.66
3.99	1890	1853	0	18.11
3.99	1890	1854	0	18.56
3.99	1890	1845	0	19.00
3.99	1890	1854	0	19.45
3.99	1890	1854	0	19.90
3.99	1890	1867	0	20.34
3.99	1890	1844	0	20.79
3.99	1890	1855	0	21.23
3.99	1890	1860	0	21.68
3.99	1890	1846	0	22.12
3.99	1890	1867	0	22.58
3.99	1890	1850	0	23.02
4.00	1890	1859	0	23.46
3.99	1890	1838	0	23.91
4.00	1890	1864	0	24.36
4.00	1890	1843	0	24.80
4.00	1890	1838	0	25.25
4.00	1890	1857	0	25.68
4.00	1890	1847	0	26.12
4.00	1890	1856	0	26.57
4.00	1890	1846	0	27.01
4.00	1890	1856	0	27.46
4.00	1890	1856	3	27.90
4.00	1890	1856	0	28.35
4.00	1890	1849	3	28.80
4.00	1890	1847	3	29.26
4.00	1890	1841	3	29.71
4.00	1890	1847	3	30.15
4.00	1890	1859	3	30.60
4.00	1890	1856	3	31.04
4.00	1890	1859	3	31.49
4.00	1890	1863	3	31.93
4.01	1890	1851	3	32.40
4.01	1890	1843	3	32.85
4.01	1890	1839	3	33.30
4.01	1890	1853	3	33.74
4.01	1890	1855	3	34.18
4.01	1890	1852	3	34.63
4.01	1890	1852	3	35.08
4.01	1890	1851	3	35.52
4.01	1890	1846	3	35.97
4.01	1890	1855	3	36.42
4.01	1890	1862	3	36.86
4.01	1890	1852	3	37.30
4.01	1890	1860	3	37.75
4.01	1890	1846	3	38.18
4.01	1890	1859	3	38.63
4.01	1890	1842	3	39.07
4.01	1890	1844	3	39.52
4.01	1890	1852	3	39.98
4.01	1890	1855	3	40.43
4.01	1890	1849	3	40.88
4.01	1890	1842	3	41.32
4.01	1890	1859	3	41.78
4.02	1890	1851	3	42.21
4.01	1890	1844	3	42.64
4.01	1890	1844	3	43.08
4.01	1890	1859	3	43.53
4.02	1890	1851	3	43.96
4.02	1890	1839	3	44.39
4.02	1890	1853	3	44.84
4.01	1890	1849	3	45.27
4.02	1890	1857	3	45.71
4.02	1890	1852	3	46.16
4.02	1890	1857	3	46.61
