Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
4.617139	21.650342	0.108175	21.735574	3.889787	21.827913
4.617139	21.884033	0.097852	21.969766	3.890390	22.060979
4.617139	22.118398	0.100668	22.201947	3.890387	22.294600
4.617139	22.351119	0.102544	22.437224	3.890163	22.527271
4.617139	22.583406	0.101606	22.671348	3.890089	22.762502
4.617139	22.819713	0.101606	22.903911	3.889569	22.997366
4.617139	23.055072	0.099729	23.138753	3.890463	23.232091
4.617139	23.288385	0.100668	23.372761	3.890536	23.464891
4.617139	23.520975	0.100668	23.607323	3.890536	23.698320
4.617139	23.754008	0.101606	23.844407	3.889643	23.935305
4.617139	23.991333	0.102544	24.077375	3.889568	24.169231
4.617139	24.226530	0.101606	24.311821	3.889718	24.402960
9.713178	24.456840	0.095975	24.527819	3.892101	24.618268
9.713178	24.674730	0.095975	24.764702	3.892175	24.855848
9.713178	24.913923	0.096913	24.998600	3.891059	25.088959
9.713178	25.146285	0.095975	25.230869	3.892398	25.323730
9.713178	25.378835	0.096913	25.466767	3.891580	25.556690
9.713178	25.612488	0.095975	25.700595	3.892175	25.791874
9.713178	25.847445	0.098791	25.934045	3.891504	26.024815
9.713178	26.082393	0.096913	26.169225	3.891654	26.260765
9.713178	26.317523	0.095975	26.403157	3.892695	26.496020
9.713178	26.552191	0.095975	26.637623	3.892621	26.728278
9.713178	26.782564	0.095975	26.853473	3.891878	26.944129
9.713178	27.000652	0.095975	27.087975	3.892249	27.179478
9.713178	27.235539	0.095975	27.322144	3.891952	27.412329
82.345783	27.468074	0.131638	27.554899	3.901215	27.646633
82.345783	27.703587	0.129761	27.789987	3.902703	27.880869
82.345783	27.936640	0.126946	28.022793	3.903597	28.115210
82.345783	28.172132	0.128823	28.257130	3.903521	28.348191
82.345783	28.404663	0.141961	28.492464	3.902470	28.585523
82.345783	28.641510	0.138207	28.727239	3.903142	28.819702
82.345783	28.874836	0.134454	28.960764	3.903294	29.034338
82.345783	29.091101	0.134454	29.177607	3.903220	29.269738
82.345783	29.325306	0.129761	29.411998	3.903446	29.502015
82.345783	29.556335	0.129761	29.643779	3.903595	29.737566
