Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
48.537565	7.912849	0.113806	9.785315	3.896844	11.442347
48.537565	24.884846	0.106299	24.969841	3.897965	25.059689
48.537565	25.116864	0.106299	25.200241	3.897742	25.292940
48.537565	25.349952	0.106299	25.433557	3.897890	25.527175
48.537565	25.586499	0.111930	25.688604	3.897663	25.788362
48.537565	25.847982	0.112868	25.928082	3.897811	26.020952
48.537565	26.078807	0.105360	26.163978	3.898040	26.256491
48.537565	26.313420	0.104422	26.404030	3.897743	26.491929
48.537565	26.548157	0.107237	26.634980	3.897964	26.726180
48.537565	26.782398	0.112868	26.869539	3.897513	26.961846
48.537565	27.018850	0.105360	27.103592	3.898263	27.193838
48.537565	27.249690	0.110991	27.339293	3.897738	27.430955
48.537565	27.488055	0.105360	27.572470	3.897965	27.664666
48.537565	27.721289	0.108175	27.806588	3.897963	27.898357
48.537565	27.954910	0.106299	28.040433	3.898336	28.132918
48.537565	28.188631	0.103483	28.276098	3.898413	28.368883
48.537565	28.424846	0.104422	28.509882	3.898263	28.601853
48.537565	28.655890	0.106299	28.744073	3.898188	28.837219
48.537565	28.894069	0.106299	28.978603	3.898485	29.070320
48.537565	29.125150	0.108175	29.217097	3.898112	29.308399
48.537565	29.364587	0.106299	29.450953	3.898039	29.542348
48.537565	29.598207	0.114745	29.684673	3.897438	29.777795
48.537565	29.833897	0.107237	29.920096	3.897741	30.011201
