Vcell	Icell	measured	regon	time
4.30	 400	 351	0	 0.65
4.35	 400	 373	0	 1.09
4.32	 400	 367	0	 1.53
4.36	 400	 342	0	 1.97
4.34	 400	 349	0	 2.40
4.36	 400	 375	0	 2.85
4.31	 400	 369	0	 3.29
4.32	 400	 364	0	 3.74
4.32	 400	 366	0	 4.21
4.32	 400	 373	0	 4.65
4.31	 400	 377	0	 5.10
4.35	 400	 348	0	 5.54
4.31	 400	 323	0	 5.99
4.32	 400	 365	0	 6.43
4.32	 400	 367	0	 6.88
4.32	 400	 340	0	 7.32
4.30	 400	 346	0	 7.77
4.32	 400	 386	0	 8.22
4.32	 400	 378	0	 8.67
4.33	 400	 364	0	 9.11
4.34	 400	 344	0	 9.56
4.34	 400	 361	0	10.00
4.33	 400	 377	0	10.45
4.35	 400	 360	0	10.89
4.34	 400	 352	0	11.34
4.30	 400	 341	0	11.79
4.31	 400	 360	0	12.23
4.31	 400	 373	0	12.67
4.33	 400	 354	0	13.12
4.31	 400	 373	0	13.57
4.31	 400	 370	0	14.02
4.31	 400	 348	0	14.47
4.30	 400	 367	0	14.91
4.34	 400	 360	0	15.36
4.33	 400	 354	0	15.80
4.34	 400	 369	0	16.25
4.32	 400	 354	0	16.68
4.32	 400	 346	0	17.13
4.33	 400	 361	0	17.57
4.33	 400	 343	0	18.02
4.32	 400	 356	0	18.46
4.31	 400	 383	0	18.91
4.33	 400	 400	0	19.35
4.32	 400	 346	0	19.80
4.32	 400	 362	0	20.25
4.31	 400	 354	0	20.68
4.31	 400	 333	0	21.12
4.30	 400	 347	0	21.56
4.33	 400	 373	0	22.01
4.30	 400	 327	0	22.46
4.30	 400	 333	0	22.90
4.32	 400	 367	0	23.35
4.36	 400	 380	0	23.80
4.31	 400	 360	0	24.24
4.31	 400	 357	0	24.69
4.34	 400	 341	0	25.14
4.31	 400	 341	0	25.60
4.32	 400	 359	0	26.04
4.33	 400	 363	0	26.49
4.32	 400	 354	0	26.94
4.31	 400	 351	0	27.38
4.33	 400	 376	0	27.83
4.31	 400	 370	0	28.28
4.29	 400	 383	0	28.72
4.32	 400	 353	0	29.17
4.30	 400	 394	0	29.61
4.30	 400	 331	0	30.06
4.31	 400	 369	0	30.51
4.32	 400	 367	0	30.96
4.32	 400	 348	0	31.40
4.31	 400	 368	0	31.85
4.31	 400	 368	0	32.29
4.31	 400	 378	0	32.74
4.30	 400	 380	0	33.18
4.33	 400	 365	0	33.63
4.33	 400	 339	0	34.08
4.28	 400	 366	0	34.52
4.31	 400	 324	0	34.97
4.32	 400	 354	0	35.41
4.30	 400	 355	0	35.86
4.30	 400	 357	0	36.31
4.32	 400	 368	0	36.75
4.32	 400	 389	0	37.20
4.32	 400	 366	0	37.65
4.31	 400	 359	0	38.09
4.31	 400	 354	0	38.54
4.29	 400	 355	0	38.99
4.32	 400	 346	0	39.43
4.31	 400	 396	0	39.88
4.29	 400	 355	0	40.31
4.32	 400	 351	0	40.74
4.31	 400	 351	0	41.17
4.29	 400	 344	0	41.60
4.28	 400	 363	0	42.04
4.29	 400	 331	0	42.49
4.31	 400	 354	0	42.92
4.31	 400	 378	0	43.37
4.27	 400	 367	0	43.82
4.29	 400	 349	0	44.27
4.30	 400	 341	0	44.72
4.31	 400	 346	0	45.16
4.31	 400	 363	0	45.61
4.29	 400	 332	0	46.06
4.31	 400	 367	0	46.50
4.30	 400	 354	0	46.95
4.30	 400	 338	0	47.39
4.30	 400	 348	0	47.84
4.31	 400	 353	0	48.29
4.32	 400	 363	0	48.73
4.30	 400	 383	0	49.18
4.30	 400	 370	0	49.63
4.28	 400	 380	0	50.07
4.32	 400	 384	0	50.52
4.33	 400	 364	0	50.96
4.30	 400	 363	0	51.40
4.30	 400	 342	0	51.84
4.32	 400	 352	0	52.29
4.30	 400	 324	0	52.73
4.31	 400	 348	0	53.18
4.30	 400	 374	0	53.63
4.33	 400	 364	0	54.07
4.30	 400	 361	0	54.52
3.05	 400	 486	0	54.96
4.31	 400	 330	0	55.41
3.06	 400	 516	0	55.85
3.08	 400	 520	0	56.28
3.09	 400	 501	0	56.73
3.09	 400	 518	0	57.18
3.09	 400	 501	0	57.62
3.09	 400	 490	0	58.07
3.10	 400	 505	0	58.52
3.10	 400	 481	0	58.96
3.10	 400	 502	0	59.41
3.10	 400	 519	0	59.85
3.10	 400	 505	0	60.30
3.10	 400	 524	0	60.74
3.11	 400	 525	0	61.19
3.10	 400	 493	0	61.63
3.11	 400	 497	0	62.08
3.11	 400	 522	0	63.56
3.12	 400	 512	0	64.34
3.11	 400	 501	0	64.88
3.11	 400	 481	0	65.41
3.12	 400	 497	0	65.91
3.12	 400	 492	0	66.44
3.11	 400	 491	0	66.89
