Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.055760	0.099729	0.150903	3.781718	0.237153
0.000000	0.293352	0.102544	0.379216	3.781195	0.471319
0.000000	0.530347	0.100668	0.612332	3.781791	0.703407
0.000000	0.761115	0.097852	0.845711	3.781273	0.937925
0.000000	0.994614	0.104422	1.080079	3.780822	1.171598
0.000000	1.226773	0.100668	1.315847	3.782014	1.406893
0.000000	1.464480	0.102544	1.549284	3.781418	1.640548
0.000000	1.695028	0.101606	1.782672	3.781047	1.873137
0.000000	1.929061	0.099729	2.015612	3.780528	2.109039
0.000000	2.166013	0.099729	2.250909	3.781643	2.341568
0.000000	2.398263	0.103483	2.502432	3.781194	2.580651
0.000000	2.636392	0.101606	2.725120	3.781270	2.815521
0.000000	2.871841	0.099729	2.956637	3.780900	3.049785
0.000000	3.105732	0.098791	3.191616	3.781644	3.283381
0.000000	3.337815	0.101606	3.426597	3.781791	3.517076
0.000000	3.572164	0.098791	3.660593	3.781644	3.750845
0.000000	3.807505	0.099729	3.892517	3.781420	3.986002
0.000000	4.044084	0.099729	4.126101	3.781718	4.219176
0.000000	4.272054	0.099729	4.361388	3.781346	4.453529
0.000000	4.510387	0.099729	4.595571	3.781718	4.688554
0.000000	4.746044	0.102544	4.830924	3.780526	4.923317
0.000000	4.978862	0.099729	5.066799	3.782164	5.159567
0.000000	5.216535	0.098791	5.300896	3.781496	5.393046
0.000000	5.450291	0.105360	5.539239	3.780747	5.633187
