Vcell	Icell	measured	regon	time
4.00	2700	2697	0	 0.63
4.02	2700	2670	3	 1.09
4.03	2700	2658	3	 1.56
4.03	2700	2660	3	 2.02
4.03	2700	2661	3	 2.47
4.04	2700	2657	3	 2.91
4.05	2700	2685	3	 3.36
4.04	2700	2652	3	 3.81
4.05	2700	2666	3	 4.24
4.05	2700	2662	3	 4.69
4.05	2700	2652	3	 5.13
4.05	2700	2667	3	 5.58
4.05	2700	2662	3	 6.02
4.06	2700	2642	3	 6.47
4.06	2700	2645	3	 6.92
4.06	2700	2661	3	 7.36
4.06	2700	2647	3	 7.81
4.07	2700	2657	3	 8.25
4.07	2700	2650	3	 8.70
4.07	2700	2645	3	 9.14
4.06	2700	2681	3	 9.59
4.08	2700	2692	3	10.04
4.07	2700	2674	3	10.48
4.08	2700	2658	3	10.93
4.07	2700	2652	3	11.37
4.08	2700	2661	3	11.82
4.07	2700	2656	3	12.27
4.07	2700	2658	3	12.71
4.08	2700	2665	3	13.16
4.08	2700	2663	3	13.60
4.07	2700	2649	3	14.05
4.08	2700	2661	3	14.49
4.08	2700	2651	3	14.94
4.09	2700	2651	3	15.39
4.08	2700	2684	3	15.83
4.09	2700	2679	3	16.28
4.09	2700	2668	3	16.72
4.08	2700	2637	3	17.17
4.08	2700	2653	3	17.62
4.09	2700	2654	3	18.06
4.09	2700	2642	3	18.51
4.09	2700	2648	3	18.95
4.09	2700	2685	3	19.42
4.09	2700	2684	3	19.87
4.09	2700	2682	3	20.31
4.09	2700	2675	3	20.76
4.09	2700	2664	3	21.20
4.10	2700	2667	3	21.65
4.09	2700	2640	3	22.10
4.11	2700	2685	3	22.54
4.10	2675	2669	1	22.99
4.10	2700	2678	3	23.44
4.10	2693	2681	1	23.88
4.10	2700	2685	3	24.33
4.10	2700	2661	3	24.77
4.09	2700	2681	3	25.22
4.10	2700	2676	3	25.66
4.10	2683	2645	1	26.11
4.10	2700	2678	3	26.55
4.10	2700	2700	3	27.00
4.10	2680	2706	1	27.45
4.11	2700	2707	3	27.89
4.10	2672	2630	1	28.34
4.10	2699	2691	1	28.78
4.10	2690	2696	1	29.23
4.10	2686	2679	1	29.67
4.10	2681	2672	1	30.12
4.10	2698	2701	1	30.56
4.10	2683	2684	1	31.02
4.11	2680	2694	1	31.46
4.11	2668	2638	1	31.91
4.10	2654	2601	1	32.36
4.11	2681	2706	1	32.80
4.10	2657	2601	1	33.25
4.11	2680	2684	1	33.69
4.11	2665	2634	1	34.14
4.10	2649	2624	1	34.58
4.11	2674	2664	1	35.03
4.11	2669	2685	1	35.48
4.11	2647	2603	1	35.92
4.11	2646	2619	1	36.36
4.11	2667	2592	1	36.81
4.11	2648	2629	1	37.26
4.11	2641	2598	1	37.71
4.11	2660	2675	1	38.15
4.10	2633	2557	1	38.60
4.11	2671	2684	1	39.04
4.11	2631	2606	1	39.49
4.11	2637	2624	1	39.93
4.11	2654	2619	1	40.38
4.11	2637	2639	1	40.85
4.11	2621	2559	1	41.29
4.11	2644	2652	1	41.74
4.11	2646	2649	1	42.18
4.11	2647	2647	1	42.63
4.11	2637	2613	1	43.08
4.11	2632	2610	1	43.52
4.12	2631	2603	1	43.97
4.11	2601	2559	1	44.41
4.12	2624	2586	1	44.86
4.11	2608	2561	1	45.30
4.11	2627	2608	1	45.76
4.12	2619	2569	1	46.19
4.12	2601	2561	1	46.63
4.11	2593	2570	1	47.07
4.11	2609	2570	1	47.51
4.11	2614	2604	1	47.96
4.11	2606	2544	1	48.40
4.11	2599	2564	1	48.85
4.11	2606	2563	1	49.30
4.11	2623	2551	1	49.74
4.11	2599	2561	1	50.19
4.12	2604	2564	1	50.63
4.11	2572	2576	1	51.07
4.11	2621	2616	1	51.51
4.11	2595	2565	1	51.95
4.11	2590	2568	1	52.40
4.12	2589	2537	1	52.85
4.11	2575	2534	1	53.29
4.12	2597	2606	1	53.74
4.11	2579	2536	1	54.18
4.12	2590	2524	1	54.63
4.12	2569	2521	1	55.07
4.11	2561	2521	1	55.52
4.11	2580	2513	1	55.97
4.12	2576	2534	1	56.41
4.12	2561	2530	1	56.86
4.11	2564	2502	1	57.30
4.11	2581	2530	1	57.75
4.11	2571	2528	1	58.19
4.12	2572	2522	1	58.64
4.11	2555	2508	1	59.09
4.11	2568	2530	1	59.53
4.11	2564	2523	1	59.98
4.11	2567	2530	1	60.42
4.11	2568	2520	1	60.87
4.12	2576	2518	1	61.31
4.11	2554	2532	1	61.76
4.12	2579	2580	1	62.21
4.12	2549	2503	1	62.65
4.11	2544	2519	1	63.10
4.11	2555	2509	1	63.54
4.12	2580	2517	1	63.99
4.11	2521	2505	1	64.44
4.12	2566	2549	1	64.88
4.11	2529	2482	1	65.33
4.12	2555	2525	1	65.77
4.11	2523	2493	1	66.22
4.12	2541	2463	1	66.66
4.11	2523	2490	1	67.12
4.12	2560	2549	1	67.57
4.11	2503	2518	1	68.01
4.12	2558	2541	1	68.46
4.11	2510	2500	1	68.90
4.11	2531	2493	1	69.35
4.11	2539	2525	1	69.79
4.12	2533	2509	1	70.24
4.11	2504	2490	1	70.68
4.12	2535	2485	1	71.13
4.11	2520	2489	1	71.57
4.12	2523	2481	1	72.02
4.12	2514	2462	1	72.47
4.12	2514	2513	1	72.91
4.11	2517	2492	1	73.36
4.12	2526	2480	1	73.80
4.11	2486	2472	1	74.25
4.12	2536	2504	1	74.70
4.11	2494	2460	1	75.14
4.11	2513	2477	1	75.59
4.12	2524	2481	1	76.04
4.12	2497	2485	1	76.48
4.12	2504	2472	1	76.93
4.12	2499	2458	1	77.38
4.11	2499	2472	1	77.82
4.12	2505	2493	1	78.27
4.11	2487	2460	1	78.71
4.12	2515	2507	1	79.16
4.12	2476	2430	1	79.60
4.11	2486	2451	1	80.05
4.12	2497	2461	1	80.50
4.11	2489	2439	1	80.94
4.11	2490	2474	1	81.39
4.12	2495	2485	1	81.83
4.12	2477	2435	1	82.28
4.12	2479	2436	1	82.73
4.12	2478	2430	1	83.17
4.12	2473	2427	1	83.62
4.11	2462	2459	1	84.06
4.11	2479	2455	1	84.51
4.11	2480	2480	1	84.95
4.11	2476	2442	1	85.40
4.12	2507	2463	1	85.84
4.11	2444	2434	1	86.31
4.12	2492	2446	1	86.76
4.11	2449	2425	1	87.20
4.12	2478	2458	1	87.65
4.12	2452	2418	1	88.09
4.12	2460	2429	1	88.54
4.11	2452	2401	1	88.99
4.12	2465	2432	1	89.43
4.11	2448	2477	1	89.88
4.12	2464	2428	1	90.33
4.11	2441	2427	1	90.77
4.12	2468	2439	1	91.22
4.12	2448	2424	1	91.66
4.12	2447	2430	1	92.11
4.11	2442	2423	1	92.56
4.12	2463	2451	1	93.00
4.11	2423	2391	1	93.45
4.12	2465	2417	1	93.89
4.11	2427	2427	1	94.36
4.12	2454	2442	1	94.80
4.11	2424	2381	1	95.25
4.12	2456	2423	1	95.69
4.12	2431	2435	1	96.14
4.12	2430	2382	1	96.58
4.12	2425	2387	1	97.03
4.11	2424	2437	1	97.48
4.12	2443	2411	1	97.93
4.11	2417	2425	1	98.37
4.12	2451	2418	1	98.82
4.12	2419	2397	1	99.26
4.12	2423	2405	1	99.71
4.12	2416	2399	1	100.15
4.11	2411	2378	1	100.60
4.12	2434	2393	1	101.05
4.12	2415	2402	1	101.49
4.11	2398	2384	1	101.94
4.12	2428	2413	1	102.40
4.12	2414	2381	1	102.85
4.11	2397	2384	1	103.30
4.12	2424	2395	1	103.74
4.11	2395	2373	1	104.19
4.12	2417	2387	1	104.63
4.11	2393	2357	1	105.08
4.12	2412	2398	1	105.53
4.11	2396	2364	1	105.97
4.12	2425	2391	1	106.42
4.12	2383	2358	1	106.86
4.11	2399	2370	1	107.33
4.12	2406	2386	1	107.78
4.12	2382	2362	1	108.24
4.12	2392	2371	1	108.71
4.12	2383	2356	1	109.16
4.12	2381	2371	1	109.60
4.12	2388	2351	1	110.05
4.11	2378	2365	1	110.50
4.12	2412	2380	1	110.94
4.11	2378	2366	1	111.39
4.12	2394	2362	1	111.83
4.11	2379	2342	1	112.28
4.12	2388	2353	1	112.72
4.11	2376	2341	1	113.17
4.12	2383	2351	1	113.62
