Vcell	Icell	measured	regon	time
3.98	1890	1859	0	 0.64
4.00	1890	1856	3	 1.11
4.01	1889	1848	1	 1.55
4.01	1884	1856	1	 2.00
4.01	1880	1843	1	 2.43
4.02	1879	1836	1	 2.88
4.02	1875	1836	1	 3.31
4.02	1874	1841	1	 3.76
4.02	1872	1837	1	 4.21
4.02	1870	1832	1	 4.65
4.02	1868	1827	1	 5.10
4.02	1865	1831	1	 5.55
4.03	1863	1826	1	 5.99
4.03	1860	1825	1	 6.46
4.03	1858	1814	1	 6.90
4.03	1855	1820	1	 7.35
4.03	1854	1830	1	 7.79
4.03	1851	1826	1	 8.26
4.03	1849	1820	1	 8.69
4.03	1846	1818	1	 9.14
4.03	1845	1804	1	 9.58
4.03	1842	1808	1	10.03
4.03	1840	1799	1	10.46
4.03	1838	1808	1	10.90
4.03	1835	1803	1	11.35
4.04	1834	1802	1	11.80
4.04	1831	1798	1	12.24
4.04	1829	1808	1	12.69
4.04	1826	1799	1	13.14
