Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
80.028047	0.056102	0.138207	0.136612	3.900541	0.228677
14.188634	0.301406	0.096913	0.391647	3.892174	0.482950
42.176128	0.542932	0.108175	0.624254	3.897294	0.715291
91.573553	0.772558	0.140085	0.859313	3.903438	0.950680
79.220733	1.006501	0.139146	1.093443	3.902249	1.184332
95.949243	1.240101	0.160731	1.326027	3.904611	1.418201
65.574070	1.474914	0.131638	1.559556	3.900843	1.652141
3.571168	1.707237	0.098791	1.797233	3.891207	1.888404
84.912931	1.944806	0.141961	2.028843	3.903362	2.120135
93.399325	2.176399	0.137269	2.263818	3.904407	2.353854
67.873515	2.412331	0.133515	2.497027	3.901065	2.587718
75.774013	2.641487	0.126946	2.741578	3.903374	2.832595
74.313247	2.890060	0.133515	2.974472	3.903146	3.066969
74.313247	3.124534	0.126946	3.208556	3.903672	3.300583
74.313247	3.357351	0.134454	3.443035	3.902997	3.534273
74.313247	3.590723	0.135392	3.676930	3.902996	3.767880
74.313247	3.825461	0.132576	3.910422	3.903221	4.003310
74.313247	4.061284	0.142900	4.144520	3.902395	4.236153
74.313247	4.293026	0.134454	4.377872	3.902997	4.470406
74.313247	4.527702	0.132576	4.611950	3.903370	4.702568
74.313247	4.758565	0.136330	4.845489	3.903218	4.936088
74.313247	4.994191	0.133515	5.080027	3.903592	5.170476
74.313247	5.228456	0.133515	5.314675	3.903295	5.408363
74.313247	5.464962	0.130699	5.554189	3.903892	5.645599
74.313247	5.701788	0.128823	5.790982	3.903744	5.881749
74.313247	5.938053	0.129761	6.023591	3.903744	6.116075
74.313247	6.172176	0.125068	6.258575	3.904119	6.349366
74.313247	6.406957	0.134454	6.491095	3.903517	6.583098
74.313247	6.639835	0.133515	6.725679	3.903741	6.821373
74.313247	6.879177	0.128823	6.982029	3.903819	7.073788
74.313247	7.129951	0.135392	7.215692	3.903813	7.307707
74.313247	7.363807	0.133515	7.450607	3.903815	7.543484
74.313247	7.598714	0.132576	7.686074	3.903667	7.777446
74.313247	7.833477	0.137269	7.919100	3.903440	8.012222
74.313247	8.067453	0.136330	8.152851	3.903664	8.246460
74.313247	8.303365	0.129761	8.389352	3.903967	8.478698
74.313247	8.535245	0.129761	8.622288	3.903892	8.712911
74.313247	8.769071	0.130699	8.857509	3.904040	8.948916
74.313247	9.006000	0.133515	9.092777	3.903666	9.183363
74.313247	9.239729	0.129761	9.326302	3.904338	9.421401
