Is	 t_Is	 Ir	 t_Ir	 Vc	 t_Vc
0.000000	0.056005	0.101606	0.138234	3.894847	0.230390
0.000000	0.288008	0.099729	0.372467	3.894997	0.463287
0.000000	0.520523	0.100668	0.608768	3.897597	0.699997
0.000000	0.757062	0.096913	0.842055	3.894404	0.932986
0.000000	0.991672	0.105360	1.076261	3.892242	1.168752
0.000000	1.228799	0.096913	1.310921	3.895296	1.412800
0.000000	1.468567	0.102544	1.554118	3.894474	1.646034
0.000000	1.699989	0.102544	1.789782	3.897150	1.880414
0.000000	1.935788	0.100668	2.025599	3.895293	2.116682
0.000000	2.170107	0.100668	2.259306	3.893881	2.353593
0.000000	2.409557	0.101606	2.496707	3.894475	2.588277
0.000000	2.643189	0.106299	2.730299	3.893133	2.821903
0.000000	2.878842	0.107237	2.962811	3.894545	3.056425
0.000000	3.113995	0.100668	3.200871	3.895962	3.292318
0.000000	3.347684	0.097852	3.434240	3.894552	3.527207
0.000000	3.582460	0.097852	3.668204	3.896559	3.760456
0.000000	3.815956	0.103483	3.902285	3.892689	3.993870
0.000000	4.049384	0.109114	4.137740	3.892685	4.230020
0.000000	4.287767	0.100668	4.392218	3.892023	4.484474
0.000000	4.542501	0.107237	4.646990	3.893207	4.723397
0.000000	4.779538	0.107237	4.868181	3.893801	4.960776
0.000000	5.015344	0.101606	5.102028	3.894326	5.193921
0.000000	5.248928	0.100668	5.336019	3.894624	5.428862
0.000000	5.484412	0.096913	5.570547	3.893066	5.661970
0.000000	5.716888	0.096913	5.807406	3.893364	5.899037
0.000000	5.956108	0.108175	6.039330	3.892017	6.132809
0.000000	6.188327	0.099729	6.277207	3.892023	6.368125
0.000000	6.424681	0.097852	6.510788	3.894775	6.601373
0.000000	6.657491	0.100668	6.743406	3.893509	6.836332
0.000000	6.891283	0.100668	6.977961	3.891502	7.070825
0.000000	7.127652	0.098791	7.214938	3.892024	7.308271
0.000000	7.363398	0.095975	7.449621	3.893959	7.542262
0.000000	7.600085	0.098791	7.685144	3.893436	7.776312
0.000000	7.832190	0.099729	7.918403	3.895145	8.009724
0.000000	8.066591	0.099729	8.154208	3.893213	8.246643
0.000000	8.303365	0.107237	8.387160	3.894768	8.479305
0.000000	8.535676	0.098791	8.622498	3.893734	8.716526
0.000000	8.772966	0.103483	8.857564	3.891500	8.952524
0.000000	9.009437	0.104422	9.096429	3.893283	9.189450
0.000000	9.244803	0.104422	9.335554	3.892837	9.426101
0.000000	9.481164	0.095975	9.569142	3.894182	9.659680
0.000000	9.713943	0.103483	9.802180	3.894027	9.895303
0.000000	9.951342	0.101606	10.037504	3.890981	10.128164
1389.657246	10.186852	1.436153	10.269549	4.053738	10.361812
1389.657246	10.416222	1.432399	10.505099	4.072101	10.595959
1389.657246	10.651973	1.433338	10.737177	4.078790	10.829727
1389.657246	10.885559	1.435215	10.973939	4.082133	11.066031
1389.657246	11.123561	1.432399	11.227883	4.084291	11.318729
1389.657246	11.374304	1.437092	11.461646	4.086071	11.553783
1389.657246	11.609262	1.436153	11.696151	4.087038	11.786968
1389.657246	11.843340	1.436153	11.929526	4.088450	12.022107
1389.657246	12.079225	1.434276	12.184208	4.089864	12.273273
1389.657246	12.329266	1.438969	12.417374	4.091124	12.510850
1389.657246	12.568267	1.431461	12.656242	4.092468	12.747280
1389.657246	12.803958	1.433338	12.889442	4.093061	12.979969
1389.657246	13.034411	1.435215	13.125176	4.093803	13.202448
1389.657246	13.258643	1.433338	13.344598	4.095142	13.437445
1389.657246	13.493069	1.434276	13.579157	4.096256	13.670423
1389.657246	13.726191	1.434276	13.813563	4.096702	13.904583
1389.657246	13.961345	1.435215	14.047757	4.097371	14.139526
1389.657246	14.195099	1.434276	14.283988	4.098263	14.374519
1389.657246	14.430903	1.437092	14.516139	4.099153	14.608283
1389.657246	14.663584	1.435215	14.751587	4.100344	14.842436
1389.657246	14.898260	1.432399	14.984680	4.101238	15.076863
1389.657246	15.133769	1.432399	15.219131	4.101535	15.310286
1389.657246	15.366077	1.434276	15.452335	4.102351	15.544793
1389.657246	15.600055	1.437092	15.686087	4.102944	15.778919
1389.657246	15.834411	1.429584	15.920816	4.104065	16.013137
1389.657246	16.069483	1.429584	16.154094	4.105180	16.247303
1389.657246	16.303405	1.436153	16.389469	4.105175	16.480010
1389.657246	16.536962	1.433338	16.623961	4.106069	16.714920
1389.657246	16.770535	1.437092	16.856824	4.105694	16.949607
1389.657246	17.005736	1.434276	17.091633	4.106811	17.187312
1389.657246	17.241694	1.430522	17.329378	4.108078	17.419382
1389.657246	17.476046	1.434276	17.562891	4.108001	17.655236
1389.657246	17.712309	1.431461	17.796661	4.109192	17.889434
1389.657246	17.945279	1.435215	18.032617	4.109412	18.125476
1389.657246	18.182094	1.434276	18.267595	4.110156	18.358369
1389.657246	18.414527	1.435215	18.500156	4.110676	18.593131
1389.657246	18.648977	1.432399	18.735713	4.110975	18.828121
1389.657246	18.882855	1.436153	18.968985	4.111121	19.062286
1389.657246	19.119384	1.433338	19.203677	4.112015	19.295831
1389.657246	19.351638	1.435215	19.438399	4.111865	19.529445
1389.657246	19.592430	1.433338	19.674239	4.113056	19.766660
1389.657246	19.822164	1.433338	19.908229	4.113725	19.998796
1389.657246	20.055135	1.432399	20.142184	4.114246	20.233118
634.198960	20.288081	0.683476	20.375394	4.028398	20.468162
634.198960	20.525077	0.685353	20.609796	4.019106	20.701767
634.198960	20.757258	0.686291	20.843256	4.015834	20.934327
634.198960	20.992682	0.682538	21.077942	4.014723	21.168376
634.198960	21.223683	0.686291	21.310370	4.013307	21.403714
634.198960	21.459665	0.688168	21.548571	4.012637	21.639842
634.198960	21.694489	0.687230	21.781243	4.011969	21.874276
634.198960	21.930141	0.687230	22.018668	4.012043	22.110177
634.198960	22.166877	0.686291	22.251196	4.012044	22.342436
634.198960	22.399057	0.685353	22.485794	4.011747	22.576238
634.198960	22.632285	0.683476	22.718676	4.011972	22.812133
634.198960	22.868526	0.687230	22.954217	4.011597	23.045334
634.198960	23.099137	0.686291	23.186564	4.011449	23.278998
634.198960	23.334608	0.687230	23.421966	4.011448	23.513179
634.198960	23.569096	0.686291	23.655399	4.011598	23.746835
634.198960	23.801836	0.686291	23.888136	4.011523	23.979333
634.198960	24.035820	0.688168	24.122993	4.011522	24.214558
